,precision,recall,f1-score,support
nose,0.7430555555555556,0.7430555555555556,0.7430555555555556,144.0
ocean,0.7272727272727273,0.5194805194805194,0.6060606060606061,154.0
octagon,0.7454545454545455,0.6119402985074627,0.6721311475409836,134.0
octopus,0.8251748251748252,0.921875,0.8708487084870848,128.0
onion,0.7481481481481481,0.7372262773722628,0.7426470588235294,137.0
oven,0.6627906976744186,0.4222222222222222,0.5158371040723982,135.0
owl,0.6604938271604939,0.6858974358974359,0.6729559748427673,156.0
paint can,0.577922077922078,0.577922077922078,0.577922077922078,154.0
paintbrush,0.6981132075471698,0.5323741007194245,0.6040816326530613,139.0
palm tree,0.8413793103448276,0.8026315789473685,0.8215488215488216,152.0
panda,0.6402439024390244,0.7094594594594594,0.6730769230769231,148.0
pants,0.8273381294964028,0.7986111111111112,0.8127208480565371,144.0
paper clip,0.7669172932330827,0.8095238095238095,0.7876447876447876,126.0
parachute,0.9044117647058824,0.7987012987012987,0.8482758620689655,154.0
parrot,0.6142857142857143,0.6231884057971014,0.6187050359712231,138.0
passport,0.5673758865248227,0.6504065040650406,0.6060606060606061,123.0
peanut,0.7664233576642335,0.695364238410596,0.7291666666666666,151.0
pear,0.8148148148148148,0.7857142857142857,0.8,140.0
peas,0.6412213740458015,0.5874125874125874,0.6131386861313869,143.0
pencil,0.37453183520599254,0.6944444444444444,0.48661800486618007,144.0
penguin,0.7530120481927711,0.78125,0.7668711656441718,160.0
piano,0.6143790849673203,0.6394557823129252,0.6266666666666667,147.0
pickup truck,0.608,0.5846153846153846,0.596078431372549,130.0
picture frame,0.788235294117647,0.8758169934640523,0.8297213622291022,153.0
pig,0.5985915492957746,0.6640625,0.6296296296296297,128.0
pillow,0.6453900709219859,0.6691176470588235,0.6570397111913358,136.0
pineapple,0.7329842931937173,0.9210526315789473,0.8163265306122449,152.0
pizza,0.6791044776119403,0.674074074074074,0.6765799256505576,135.0
pliers,0.5416666666666666,0.5234899328859061,0.5324232081911263,149.0
police car,0.7333333333333333,0.5579710144927537,0.6337448559670782,138.0
pond,0.4502923976608187,0.4873417721518987,0.46808510638297873,158.0
pool,0.43859649122807015,0.33112582781456956,0.37735849056603776,151.0
popsicle,0.8435374149659864,0.7701863354037267,0.8051948051948052,161.0
postcard,0.8333333333333334,0.5769230769230769,0.6818181818181818,156.0
potato,0.45454545454545453,0.7196969696969697,0.5571847507331378,132.0
power outlet,0.8130081300813008,0.6666666666666666,0.7326007326007326,150.0
purse,0.6666666666666666,0.6871165644171779,0.676737160120846,163.0
rabbit,0.7058823529411765,0.8695652173913043,0.7792207792207793,138.0
raccoon,0.5042735042735043,0.39864864864864863,0.44528301886792454,148.0
radio,0.7741935483870968,0.6857142857142857,0.7272727272727273,140.0
rain,0.8012820512820513,0.8278145695364238,0.8143322475570033,151.0
rainbow,0.7584269662921348,0.9440559440559441,0.8411214953271028,143.0
rake,0.7950819672131147,0.6830985915492958,0.7348484848484849,142.0
remote control,0.6690647482014388,0.6739130434782609,0.6714801444043321,138.0
rhinoceros,0.7195121951219512,0.7866666666666666,0.7515923566878981,150.0
rifle,0.6821705426356589,0.6567164179104478,0.6692015209125475,134.0
river,0.6268656716417911,0.5957446808510638,0.610909090909091,141.0
roller coaster,0.6714285714285714,0.5949367088607594,0.6308724832214765,158.0
rollerskates,0.9327731092436975,0.8161764705882353,0.8705882352941177,136.0
sailboat,0.8682634730538922,0.9539473684210527,0.9090909090909091,152.0
sandwich,0.635593220338983,0.6097560975609756,0.6224066390041494,123.0
saw,0.7669172932330827,0.7391304347826086,0.7527675276752768,138.0
saxophone,0.8391608391608392,0.8163265306122449,0.8275862068965517,147.0
school bus,0.46153846153846156,0.6071428571428571,0.5244215938303342,168.0
scissors,0.703030303030303,0.8656716417910447,0.7759197324414716,134.0
